location
"(42.97026035, -78.95896018)"
"(43.057982, -78.657633)"
"(43.08561717, -79.02319372)"
"(43.13340371, -78.78941238)"
"(42.804482, -78.805911)"
"(42.88388103, -78.76297116)"
"(43.139843, -78.614487)"
"(43.12151734, -78.93658251)"
"(42.72670517, -78.77388775)"
"(43.14028155, -78.97044808)"
"(42.895966, -78.654495)"
"(43.17609782, -79.04574037)"
"(42.80670475, -78.80909443)"
"(42.89236288, -78.86329651)"
"(42.87010241, -78.78062278)"
"(42.696798, -78.868487)"
"(42.95927277, -78.76772404)"
"(43.003307, -78.662155)"
"(42.75750585, -78.82763386)"
"(42.905897, -78.871922)"
"(42.81108099, -78.79582286)"
"(42.92724884, -78.89899403)"
"(42.88388103, -78.76297116)"
"(42.90584969, -78.8948071)"
"(42.754599, -78.76239181)"
"(42.92455029, -78.74184609)"
"(42.94298, -78.72085)"
"(42.93986798, -78.64247561)"
"(42.76358007, -78.75641182)"
"(43.01884671, -78.79681528)"
"(43.17723132, -78.68826628)"
"(42.865059, -78.821926)"
"(42.90685558, -78.90508533)"
"(43.32247907, -78.46617401)"
"(42.88050054, -78.68541509)"
"(43.09353652, -79.05706734)"
"(42.89941317, -78.87273789)"
"(43.08960734, -79.01882976)"
"(42.88994972, -78.86638641)"
"(43.054713, -78.832577)"
"(43.16951451, -78.68896097)"
"(42.9143521, -78.73416424)"
"(43.26900313, -78.9983511)"
"(43.17820246, -78.69206831)"
"(42.99971181, -78.88199687)"
"(42.92503345, -78.67216766)"
"(42.96406364, -78.7938112)"
"(43.1092315, -79.05819636)"
"(42.86466481, -78.62272382)"
"(43.028953, -78.869243)"
"(42.94492591, -78.79068375)"
"(43.078383, -78.975952)"
"(43.20928721, -78.91535014)"
"(43.150268, -79.034464)"
"(42.958901, -78.745565)"
"(42.851274, -78.816359)"
"(43.14211734, -78.65369797)"
"(43.173332, -78.754567)"
"(42.920496, -78.899925)"
"(42.95172087, -78.59304518)"
"(42.994659, -78.786487)"
"(42.96138879, -78.81389558)"
"(42.92959377, -78.74389529)"
"(42.928745, -78.75412)"
"(43.08618329, -78.90129805)"
"(43.01015476, -78.772147)"
"(42.652521, -78.969491)"
"(42.90466, -78.87405)"
"(42.88201, -78.747026)"
"(42.91512213, -78.89682412)"
"(42.89453229, -78.84911299)"
"(42.8793527, -78.88201833)"
"(42.7894329, -78.8316974)"
"(43.30853141, -78.70654017)"
"(42.960237, -78.651799)"
"(43.18769881, -78.67413104)"
"(42.926877, -78.873912)"
"(42.59824, -78.4974)"
"(42.619549, -78.529735)"
"(43.08409116, -78.97607535)"
"(43.26702986, -78.75915559)"
"(42.80496519, -78.62121105)"
"(43.036252, -78.984391)"
"(43.035847, -78.872)"
"(42.8600289, -78.76456708)"
"(42.533479, -78.732157)"
"(43.04466232, -78.825185)"
"(43.22986935, -78.82568657)"
"(42.94483952, -78.75768185)"
"(42.929295, -78.832977)"
"(43.19858684, -78.73271048)"
"(42.792314, -78.847161)"
